                  TOPIC_1	0.97946	                  TOPIC_2	0.01036	                  TOPIC_3	0.01018	
0.34134     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859      0.9759	0.00028	0.81859     0.81859     0.81859     0.81859      0.9759      0.9759     0.99862     0.99862	0.02614	0.81859     0.81859     0.81859      0.9759      0.9759      0.9759      0.9759      0.9759	0.02662	
0.34134     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.00028	0.81859     0.81859     0.81859     0.81859     0.81859     0.81859      0.9759      0.9759	0.02614	0.81859     0.81859     0.81859     0.34134     0.34134     0.34134     0.34134     0.34134	0.02662	
0.81859      0.9759      0.9759     0.99862     0.99862      0.9759     0.81859     0.81859	0.00028	0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859      0.9759	0.02614	0.81859     0.81859     0.81859     0.81859      0.9759      0.9759     0.99862     0.99862	0.02662	
0.81859     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.00028	0.81859     0.99862     0.99862     0.81859     0.81859     0.81859     0.34134     0.34134	0.02614	0.81859     0.81859     0.81859     0.81859     0.34134     0.34134     0.34134     0.34134	0.02662	
0.81859     0.81859     0.81859     0.81859     0.34134     0.34134     0.34134     0.34134	0.00028	0.9759      0.9759      0.9759      0.9759      0.9759      0.9759      0.9759      0.9759	0.02614	0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.34134	0.02662	
0.81859     0.81859     0.81859     0.81859     0.81859     0.34134     0.34134     0.34134	0.00028	0.9759      0.9759      0.9759      0.9759      0.9759     0.81859     0.81859     0.81859	0.02614	0.9759      0.9759      0.9759      0.9759      0.9759      0.9759      0.9759      0.9759	0.02662	
0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859      0.9759	0.00028	0.9759      0.9759     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.02614	0.9759      0.9759      0.9759      0.9759      0.9759     0.81859     0.81859     0.81859	0.02662	
0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.34134	0.00028	0.9759     0.81859     0.81859     0.81859     0.81859     0.81859     0.34134     0.34134	0.02614	0.9759     0.81859     0.81859     0.81859     0.81859     0.81859     0.34134     0.34134	0.02662	
0.81859     0.99862     0.99862     0.81859     0.81859     0.81859     0.34134     0.34134	0.00028	0.9759     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.02614	0.99862     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.02662	
0.9759      0.9759     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.00028	0.99862     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.02614	0.99862     0.99862      0.9759      0.9759     0.81859     0.81859     0.81859     0.81859	0.02662	
0.9759     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.00028	0.99862     0.99862      0.9759     0.81859     0.81859     0.81859     0.81859     0.81859	0.02614	0.99862     0.99862      0.9759     0.81859     0.81859     0.81859     0.81859     0.81859	0.02662	


